##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	I062.003.WES.Tumor_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70723671
Total Bases	7.1 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.979986078494143	33.0	31.0	34.0	30.0	34.0
2	32.2566647028263	34.0	31.0	34.0	30.0	34.0
3	31.758486221678172	34.0	31.0	34.0	28.0	34.0
4	35.57493040767072	37.0	35.0	37.0	33.0	37.0
5	35.80423271580459	37.0	35.0	37.0	33.0	37.0
6	35.76852659415827	37.0	35.0	37.0	33.0	37.0
7	35.7757524351359	37.0	35.0	37.0	33.0	37.0
8	35.76302799666607	37.0	35.0	37.0	33.0	37.0
9	37.454673824835815	39.0	37.0	39.0	34.0	39.0
10-11	37.465711218525406	39.0	37.0	39.0	34.0	39.0
12-13	37.45088633761672	39.0	37.0	39.0	34.0	39.0
14-15	38.830703506609545	40.0	38.0	41.0	34.0	41.0
16-17	38.83142564107001	40.0	38.0	41.0	34.0	41.0
18-19	38.840804360961414	40.0	38.0	41.0	34.0	41.0
20-21	38.82298043465532	40.0	38.0	41.0	34.0	41.0
22-23	38.80885604057515	40.0	38.0	41.0	34.0	41.0
24-25	38.79574766417315	40.0	38.0	41.0	34.0	41.0
26-27	38.7229592479723	40.0	38.0	41.0	34.0	41.0
28-29	38.65855393733733	40.0	38.0	41.0	34.0	41.0
30-31	38.599743429607884	40.0	38.0	41.0	34.0	41.0
32-33	38.56576332130723	40.0	38.0	41.0	34.0	41.0
34-35	38.511616499658224	40.0	38.0	41.0	34.0	41.0
36-37	38.46475758448681	40.0	38.0	41.0	34.0	41.0
38-39	38.39861430552721	40.0	38.0	41.0	33.5	41.0
40-41	38.3277291629842	40.0	38.0	41.0	33.0	41.0
42-43	38.23804767572091	40.0	37.5	41.0	33.0	41.0
44-45	38.1549722086683	40.0	37.0	41.0	33.0	41.0
46-47	38.061747678510635	40.0	37.0	41.0	33.0	41.0
48-49	37.95694092293371	40.0	37.0	41.0	33.0	41.0
50-51	37.839447509731215	40.0	36.5	41.0	33.0	41.0
52-53	37.708949016518105	40.0	36.0	41.0	33.0	41.0
54-55	37.54224935524063	39.5	36.0	41.0	32.0	41.0
56-57	37.38110787546647	39.0	35.0	41.0	32.0	41.0
58-59	37.195926516597254	39.0	35.0	41.0	32.0	41.0
60-61	36.968238710346355	39.0	35.0	41.0	31.0	41.0
62-63	36.731028986037785	38.0	35.0	41.0	31.0	41.0
64-65	36.471903353263436	37.5	35.0	40.5	31.0	41.0
66-67	36.181562450286265	37.0	35.0	40.0	31.0	41.0
68-69	35.90021863401293	36.5	35.0	39.5	30.5	41.0
70-71	35.57929138746205	36.0	34.5	39.0	30.0	41.0
72-73	35.27736280827391	35.5	34.0	39.0	30.0	41.0
74-75	34.96198603717842	35.0	34.0	38.5	30.0	40.0
76-77	34.67376010501491	35.0	34.0	37.0	30.0	39.0
78-79	34.3827364886079	35.0	34.0	37.0	29.5	39.0
80-81	34.10493313476332	35.0	34.0	36.0	29.0	39.0
82-83	33.887780153550004	35.0	34.0	36.0	29.0	37.0
84-85	33.69142860952452	35.0	34.0	35.5	29.0	37.0
86-87	33.52220425605452	35.0	34.0	35.0	29.0	36.5
88-89	33.38357675183462	35.0	34.0	35.0	29.0	36.0
90-91	33.26136199858743	35.0	33.0	35.0	29.0	36.0
92-93	33.156112576509216	35.0	33.0	35.0	29.0	36.0
94-95	33.08629433277014	35.0	33.0	35.0	29.0	35.5
96-97	33.029816120546116	35.0	33.0	35.0	29.0	35.0
98-99	32.98327845566727	35.0	33.0	35.0	29.0	35.0
100-101	32.433243623623554	34.5	32.0	35.0	27.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.443746243878266
1101	2	0.37864490925247196
1101	3	0.9274627022955642
1101	4	0.5488843341945753
1101	5	0.35270272979857964
1101	6	0.351201847403793
1101	7	0.28615693883958215
1101	8	0.3137410111021879
1101	9	0.38823613489083897
1101	10-11	0.3518619159017362
1101	12-13	0.37395598980954503
1101	14-15	0.3758132735377515
1101	16-17	0.4171240404762173
1101	18-19	0.39143522421000654
1101	20-21	0.49101289130234704
1101	22-23	0.48000017436771003
1101	24-25	0.446783033262129
1101	26-27	0.5052886074688843
1101	28-29	0.5176092749755554
1101	30-31	0.5048903690734079
1101	32-33	0.5052207560926263
1101	34-35	0.5178431382489421
1101	36-37	0.5061397455782242
1101	38-39	0.49398143101014824
1101	40-41	0.4797221196331165
1101	42-43	0.47227098414698077
1101	44-45	0.5256897350543994
1101	46-47	0.5164723414119052
1101	48-49	0.551089103330078
1101	50-51	0.5389143055176859
1101	52-53	0.4755332325133921
1101	54-55	0.4667643030992892
1101	56-57	0.4485700036428284
1101	58-59	0.43204559681975496
1101	60-61	0.42303843947882314
1101	62-63	0.46045211593246194
1101	64-65	0.47517597118864074
1101	66-67	0.42639213947551013
1101	68-69	0.3935700408663436
1101	70-71	0.3936303444658975
1101	72-73	0.41325246510605496
1101	74-75	0.42752560014379526
1101	76-77	0.37469639386193165
1101	78-79	0.3484340212897763
1101	80-81	0.3991034235365589
1101	82-83	0.39744454168015153
1101	84-85	0.3594821723611048
1101	86-87	0.35930873314551803
1101	88-89	0.33101567513164554
1101	90-91	0.3683540914701311
1101	92-93	0.39443356881025693
1101	94-95	0.3715676540683859
1101	96-97	0.32940806749874696
1101	98-99	0.32914721576779726
1101	100-101	0.37759115537025423
1102	1	0.4257685817754506
1102	2	0.35366478805779167
1102	3	0.8872159017713344
1102	4	0.5463710165412081
1102	5	0.351167910625378
1102	6	0.24456299842446327
1102	7	0.17087694859105795
1102	8	0.28265371635424685
1102	9	0.3415717516727881
1102	10-11	0.3549236636422677
1102	12-13	0.3841207438754495
1102	14-15	0.4570552554566163
1102	16-17	0.46546962746981535
1102	18-19	0.4268596242381264
1102	20-21	0.4718643063555277
1102	22-23	0.46834370153565885
1102	24-25	0.46335718620231603
1102	26-27	0.5001441365484709
1102	28-29	0.4971160334140947
1102	30-31	0.5060949480369175
1102	32-33	0.4328878845839128
1102	34-35	0.48252596541343706
1102	36-37	0.4939169707585265
1102	38-39	0.5107706163424481
1102	40-41	0.5309253746340872
1102	42-43	0.5102737640910036
1102	44-45	0.5155650916183845
1102	46-47	0.5043557841273056
1102	48-49	0.525422503235319
1102	50-51	0.5128014808054218
1102	52-53	0.49516707267878957
1102	54-55	0.46455613227794856
1102	56-57	0.5162946908609314
1102	58-59	0.5255532247073518
1102	60-61	0.4741248088784644
1102	62-63	0.46747613660554066
1102	64-65	0.49383952686684296
1102	66-67	0.4953008269682826
1102	68-69	0.45659755739959706
1102	70-71	0.45709190346511974
1102	72-73	0.458771087123921
1102	74-75	0.4510487723023786
1102	76-77	0.4719293169747232
1102	78-79	0.44666092486612996
1102	80-81	0.4234179676064116
1102	82-83	0.4378609477267972
1102	84-85	0.44109123145138085
1102	86-87	0.3823846124865895
1102	88-89	0.3981561707184369
1102	90-91	0.4221132042678164
1102	92-93	0.4393513703218872
1102	94-95	0.42859370855178724
1102	96-97	0.4572024601930309
1102	98-99	0.45399363264414205
1102	100-101	0.45668465675484526
1103	1	0.400648029921264
1103	2	0.3565473826694543
1103	3	0.8655794468259614
1103	4	0.5017156177500368
1103	5	0.3169843480916299
1103	6	0.2965356180173515
1103	7	0.26611531152835255
1103	8	0.23817855836155388
1103	9	0.2969651008391523
1103	10-11	0.30711499263767195
1103	12-13	0.3041561524063141
1103	14-15	0.3841583973570195
1103	16-17	0.3681085731163307
1103	18-19	0.38791274217327754
1103	20-21	0.4047835883106643
1103	22-23	0.3925900185724487
1103	24-25	0.4142097253488757
1103	26-27	0.41111968027566803
